4116,4042
5000,4356
5080,3924
5364,4864
4578,3812
5570,5240
4992,4230
4136,3686
4694,4098
4562,3726
4806,3680
4252,3606
4716,2888
5144,4332
4562,3666
4644,3928
4400,3276
5016,4190
6158,5432
5300,4564
5396,4794
4310,3300
3458,2344
5006,4662
5200,4774
4100,3428
5434,4944
4562,4204
4458,3676
3982,3454
4744,2528
4202,3684
4340,4100
4374,3138
6054,4900
4650,3904
4318,3604
4712,4464
4548,2824
5824,5382
4934,4274
4608,3912
5334,4674
5392,4808
4878,4042
5626,5130
5338,4602
6068,5622
5300,4482
4876,4214
4870,4064
4728,3922
5636,4792
5538,4682
4836,4052
5918,4912
4810,3828
4526,3190
5070,4276
5230,4724
4794,4680
4658,4138
6066,4840
6104,5362
5374,3060
5376,4422
3564,2654
4532,3088
4066,3366
5376,3898
5582,4558
4464,2900
4548,3584
4424,3628
4196,3982
5412,4482
4406,3776
5182,4842
5244,4550
5066,4144
4424,3666
4908,4262
4364,3650
4454,3784
4438,3664
5228,4244
4698,3870
4234,3342
4890,4374
5420,4920
4902,4092
5086,4142
4884,3742
6062,5718
4578,3722
3580,2796
5170,4484
4292,3390
4844,4508
4366,3846
5068,4216
5384,4906
5524,4790
4532,4056
4138,4004
4922,2588
5506,4708
3916,3084
5632,5140
5218,4796
4314,3630
4556,3808
5824,4482
5220,4662
5500,3408
4048,3524
4436,3546
4414,4644
4378,3764
4590,3680
4802,4168
4862,4374
4652,3448
3770,3004
6142,5610
5446,5090
5412,4660
4202,3892
4326,3228
4942,4044
4364,3840
5924,4974
4374,3788
5004,3978
4438,3976
5752,5070
4474,3790
4606,4080
5088,3978
3992,3274
4266,3182
5040,5016
4122,2730
5060,4256
5278,4624
4748,3946
5246,4580
5374,4620
4740,3372
3790,2600
3710,2942
5056,4316
4930,3924
5928,5494
4942,3984
4856,4254
4442,4212
5804,4950
5596,4836
4634,4690
4816,4208
4168,3346
5450,4848
4670,3724
5124,4438
4886,3980
5654,4924
4714,3690
4130,3540
4720,3532
5352,4664
4816,4064
4328,4554
5200,4106
5236,4542
4094,3046
4850,4108
4896,4006
5036,4416
5046,4334
4578,3488
4318,3108
4184,3192
6068,5506
5444,4160
4914,4102
5220,4514
4188,2770
4776,4556
4220,3810
5290,4334
4468,3874
5004,4834
4608,3892
4002,3072
5254,4688
4814,3886
4250,3348
4354,3516
3978,3226
5828,5282
5696,5140
4730,3456
5534,5070
4522,3880
5184,4298
5538,4896
4538,3552
4708,3870
4572,3550
5890,5236
4300,3944
5522,4856
6394,5228
5168,4438
4624,3748
5424,4500
5120,4414
4284,4130
4082,3560
4174,3548
4580,3700
5308,4518
5036,4390
4972,3932
5554,4652
5674,5124
4170,2974
4100,3236
5218,4162
5172,3820
4188,3334
4976,4192
5486,4562
5144,4122
3822,2852
