R0_S1,0.7320430107526883
R0_S2,0.8186021505376345
R0_S3,0.746559139784946
R0_S4,0.6988172043010751
R1_S1,0.696666666666667
R1_S2,0.8183870967741932
R1_S3,0.783010752688172
R1_S4,0.7141935483870968
R2_S1,0.6835714285714284
R2_S2,0.804404761904762
R2_S3,0.7445238095238095
R2_S4,0.7253571428571427
R3_S1,0.6123943661971829
R3_S2,0.7964788732394367
R3_S3,0.7159154929577466
R3_S4,0.6859154929577463
R4_S1,0.6481944444444443
R4_S2,0.7861111111111114
R4_S3,0.7347222222222223
R4_S4,0.6684722222222224

R0,0.7490053763440859
R1,0.7530645161290322
R2,0.7394642857142857
R3,0.7026760563380281
R4,0.7093750000000001

S1,0.6745739833264821
S2,0.8047967987134275
S3,0.7449462834353792
S4,0.6985511221450567

