1,2,2
2,4,1
3,1,4
4,6,3
5,3,6
6,8,5
7,5,8
8,10,7
9,7,10
10,12,9
11,9,12
12,14,11
13,11,14
14,13,13
15,49,16
16,15,15
17,51,18
18,17,17
19,53,20
20,19,19
21,23,22
22,21,21
23,55,24
24,22,23
25,26,26
26,25,25
27,29,28
28,27,27
29,57,30
30,28,29
31,32,32
32,31,31
33,59,34
34,33,33
35,89,36
36,35,35
37,38,38
38,40,37
39,37,40
40,42,39
41,39,42
42,44,41
43,41,44
44,46,43
45,43,46
46,48,45
47,45,48
48,47,47
49,73,50
50,16,49
51,77,52
52,18,51
53,79,54
54,20,53
55,81,56
56,24,55
57,83,58
58,30,57
59,87,60
60,34,59
61,62,62
62,64,61
63,61,64
64,66,63
65,63,66
66,68,65
67,65,68
68,70,67
69,67,70
70,72,69
71,69,72
72,74,71
73,71,74
74,73,73
75,76,76
76,50,75
77,78,78
78,52,77
79,80,80
80,54,79
81,82,82
82,56,81
83,84,84
84,58,83
85,86,86
86,85,85
87,88,88
88,60,87
89,90,90
90,36,89
91,92,92
92,94,91
93,91,94
94,96,93
95,93,96
96,98,95
97,95,98
98,100,97
99,97,100
100,102,99
101,99,102
102,104,101
103,101,104
104,103,103
