1,2,2
2,4,1
3,1,4
4,6,3
5,3,6
6,8,5
7,5,8
8,10,7
9,7,10
10,12,9
11,9,12
12,14,11
13,11,14
14,13,13
15,16,16
16,66,15
17,18,18
18,20,17
19,17,20
20,68,19
21,22,22
22,21,21
23,24,24
24,23,23
25,73,26
26,25,25
27,41,28
28,34,27
29,30,30
30,32,29
31,29,32
32,74,31
33,34,34
34,38,33
35,36,36
36,35,35
37,33,38
38,37,37
39,71,40
40,76,39
41,42,42
42,28,41
43,93,44
44,43,43
45,46,46
46,48,45
47,45,48
48,64,47
49,50,50
50,52,49
51,49,52
52,100,51
53,54,54
54,60,53
55,56,56
56,58,55
57,55,58
58,102,57
59,53,60
60,59,59
61,62,62
62,103,61
63,47,64
64,63,63
65,15,66
66,98,65
67,19,68
68,67,67
69,70,70
70,72,69
71,69,72
72,40,71
73,31,74
74,26,73
75,78,76
76,39,75
77,75,78
78,80,77
79,77,80
80,82,79
81,79,82
82,81,81
83,84,84
84,86,83
85,83,86
86,88,85
87,85,88
88,90,87
89,87,90
90,92,89
91,89,92
92,94,91
93,91,94
94,44,93
95,96,96
96,95,95
97,65,98
98,97,97
99,51,100
100,99,99
101,57,102
102,101,101
103,61,104
104,22,103
